name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
F3	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
Fz	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
F4	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
T7	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
C3	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
Cz	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
C4	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
T8	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
CP3	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
CP4	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
P3	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
Pz	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
P4	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
PO7	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
PO8	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
Oz	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
Fp1	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
Fp2	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
F7	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
F8	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
FC5	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
FC1	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
FC2	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
FC6	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
CPz	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
P7	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
P5	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
PO3	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
POz	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
PO4	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
O1	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
O2	EEG	µV	58.0	62.0	ElectroEncephaloGram	256.00008203487505	good	n/a
